text,stars,date,vehicle
"I’ve had mine for one 8 month now ; 2023 Rubicon. I had one issue with the bat thery coolant pump that was all. I’m driving it as a daily and has 9300 miles on it in the last . The vehicle is fun to drive , and corners well. The Tires it comes with are the KO2 from BF GoodRich and they are great in all conditions but rain. The brakes however could be better, they are still sluggish even after they have been worn in. Must be ready for those folks who slam their brakes when they see a yellow light, or any sudden stoped Even after they are broken in they are still weak even with the regen brake . I’m 107k into thi$ vehicle and they should have put Brembo brakes on this thing with a 4 piston caliper . The vehicle is very heavy and is combined with with Barley adequate braking especially when not using the Max regeneration mode. Also I wish they put the max regeneration button on the stick shifter . Also the Max Regeneration button should be better quality . When I press it too fast it won’t register that I pressed it. It needs to be a button that clicks on and off & is guaranteed to work no mattter how fast it’s presses/depressed. I had it go into FORM after 1200 miles where the hybrid systems went down , I drove it to the top of a mountain and FORM went away just as I reached the top & started to decend. No it’s not a perfect Hyrid system, No it’s not as refined and polished as Others like Toyota , But if you can get a non lemon ?? that runs good , it may be well worth the trouble to figure out how this vehicle operates best. I just got my 240v charging station installed at home and it charges in 2hrs at 7.5KW. The wife loves the vehicle , and so do I. Although it needs mudflaps…. It sprays mud all over the side of the vehicle and even under the door jams …. Be sure to add 3M tape to your door hinges so they don’t get chipped up like mine. So far I usually go 2000 miles on electric for every 300 miles on gas ?? I’m getting 24-28 miles per charge dash now says 44mpg ",5,12/18/2022,2024 Jeep Wrangler 4xe
"Other than it taking 11 months since I ordered the Grand Cherokee 4xe, I was finally able to take deliver the first of December. Other than one minor glitch that my Jeep service department was able to rectify quickly, so far the Jeep has been a pleasure to drive. If I have a complaint, it seems to have less storage than previous Grand Cherokees. This is the 5th one I’ve owned and the glove box and center consoles seems to hold less. Perhaps I should be reviewing this again after owning for more than two weeks, but do far I’m happy with it.",5,12/18/2022,2023 Jeep Grand Cherokee 4xe
"I just got the jeep grand cherokee 4xe overland a month ago. I got it because I wanted a flat tow vehicle but I wanted an electric hybrid. Jeep has two electric hybrids that can be flat towed. I replaced a 2014 overland. This car is quiet and smooth as silk. The electric capacity may not seem like much at 25-30 miles, but most retired people seldom drive more than 30 miles in a day. I’ve used this car everyday for a month and haven’t used an ounce of gas. That makes me feel good for the enviroment. Not everyone will agree with me on that, but I doubt I’ll be buying gas more than once every two-three months, if that. The electronics on the car are top of the line. Apple car play and Alexa makes it all the sweeter. I find it very comfortable, quiet and as I said very smooth. Hook up for flat towing is exactly the same as my previous 2014 grand Cherokee…so again another plus for me., one push of a button to disengage the wheels and you’re ready to roll. I think it’s the easiest set up for flat towing. The car is slightly wider and longer than the 2014 one. For those that know the overland, it comes with most of the bells and whistles. What I was disappointed in is the fact that the overland does NOT come with a wireless charging pad….come on Jeep, at these prices, what corporate exec made that blunder…petty, very petty. You have to order an advance tech package that’s a couple of thousand more to get one. I honestly think jeep should provide a wireless charging retrofit to existing owners. Sticker is $70,000+ as it is. The only other thing I don’t like is the piano black finish of the console…it looks great, but finger prints have to be constantly cleaned off…again, another blunder by product management. Over all, I really like this car…it got good looks inside and out, I can run on electric just about every day, and I can flat tow this vehicle with ease. I know there are some naysayers out there that say this and that about the electric portion of the car…doesn’t save enough money to make it worth it, etc. I say I’m trying to do my share by getting this hybrid…I didn’t buy it to save gas money…I bought it to help out the environment however little that may be.",4,12/16/2023,2023 Jeep Grand Cherokee 4xe
I believe you can’t go wrong when you buy a jeep especially if you live in Florida. Jim Browne Jeep is the only place I will purchase my vehicles in the Tampa Bay Area. The Jeep has performed excellent and the service at Jim Browne is superb.,5,12/16/2021,2022 Jeep Wrangler
"I love my 2023 Wrangler 4xe however with in 6 months of having it the transmission had to be replaced, 3 shocks, the gas fuel funnel and cap, air in the coolent line, recall software update and driver seat mechanism is broken so the seat constantly slides down. It’s been in the shop on and off for the last 2 months. Jeep customer care is a joke and the dealership service department isn’t much better. Hope I can make it a week without it being with out something else going wrong. Good luck!",2,12/15/2023,2024 Jeep Wrangler 4xe
"During my search for a 2021 Jeep Renegade, I found it a popular choice. Few were available locally with people coming from out of town to pick them up before I had a chance to go to the Dealer. Not able to wait for the 2022 model, I expanded my own search and found the color and model two hours away. Internet made comparable sales easy to search and the result was limited time spent with my purchase at the Dealership and a smooth, comfortable drive home in a new Renegade.",5,12/15/2021,2023 Jeep Renegade
"Love the Jeep its so fun and easy to drive love when I can take the doors off and slide the roof back and then able to have a confidant 4x4 for the winter hear in Wisconsin, And love the Service I get at Palmen Motors in Kenosha Wisconsin ",5,12/14/2022,2022 Jeep Wrangler
Below average quality. Heated seats stopped working after 1 year.,2,12/14/2022,2023 Jeep Renegade
"I had the misfortune of renting one of these for a business trip from Denver to North Platte, Nov 2023. Cold morning (18F) starts the engine sounded like a bunch of ball bearings in a spin cycle and was sluggish. The only way to warm the interior was to have the front defroster on ""max,"" setting; otherwise the HVAC puts out cool air. The engine will not run whilst idling, unless the defroster is as noted before. Hard to believe a vehicle this expensive would get crap real-world mileage (21.4 mpg, mostly highway) and not recharge the battery via regen braking or from the motor. Especially since the hotel did not have a charging station. The battery level never rose above 1%. The dashboard materials are cheap and marred by the slightest touch; uConnect is quirky. Sightlines are bad if one tries to park forward into a parking spot, resulting in kitty-waumpus parking. Some good: stereo quality, seat comfort, steering wheel feel, and bun warmers. Your money is better spent buying a Sequoia. Heck, even an Outlander. No wonder Jeep has 6 months inventory on hand.",1,11/30/2023,2023 Jeep Grand Cherokee 4xe
We ordered the New Jeep 4 e Wrangler Rubicon in 2021 ! We just had our second episode with our New Jeep just dye while driving it for no reason. The first my wife was driving 60 miles an hour on the freeway and the new Jeep just shut off . She was blessed enough to maneuver the Jeep to the side of the road. We had our New Jeep at the dealership garage for over two weeks and they found nothing wrong with the vehicle. Last week I was driving our New Jeep with my entire family including my two kids. We were on a City road at 40 miles an hour. Our Jeep suddenly stopped on me & before I could react we were in the middle of the road. We all got out & tried to push the vehicle to the side but we were unsuccessful. For the next 15 minutes I was directing cars around us. Both time the Jeep started 30 minutes later & ran B perfectly. I just contacted the dealership we purchased the Jeep from & am asking them to purchase the Jeep back from us ! Very soon they will have a Multi Million Dollar lawsuit when there Jeep dyes & others are killed. I decided I don’t want that family to be mine !!! Chaz Field [contact info removed] I would love to here similar episodes ,1,11/30/2021,2022 Jeep Wrangler
I love it!,5,11/28/2023,2022 Jeep Wrangler
This is a fun vehicle to drive all year around. So cool with the top down in the summer months. Dirt road trails with a little mud are no challenge for a Wrangler. A rugged tough fun ride.,5,11/27/2022,2022 Jeep Wrangler
"Did it! Did not even wait for the Title to come in on the 2023 Toyota Highlander, see my review on Toyota Highlander ""bye-bye."" First of all, we already own two Jeep Wranglers we would never trade off so we are partial to Jeep, 2018/2020. We would never own a 4xe, **** REALLY and not because it is EV which I have no problem, we owned an old Toyota Hybrid 2009 that was awesome...WHAT HAPPEN TOYOTA they put profit ahead of consumer CHEAP QUALITY, with but the hassle for only 25 miles EV time and cost of plug-in set up, and that is all you can find today on the lots not even $7500 Tax Advantage on your leases only, AND the new 2024 Wrangler Rubicons wasn't impress with interior quality....I digress...We were looking for a small SUV...something we could drive into town or the golf course, LOCAL meaning SoCal...Found a 2022 Jeep Compass Brand New, BEEP BEEP WILL ROBINSON Red Flag as 2024 is approaching, but let's give it a spin anyway... Yes, a Jeep Compass they have CHANGED, ELITE Limited 4x4, yes it is a 4x4 with a lock system not an AWD, when Jeep says 4x4, it is a 4x4, with 27% taken off, used is more expensive, the top(2022 24 miles) but you can get a great deal on a 2023 not 27% off however..People they have changed....Notice I wrote LOCAL driving, SoCal, and let me tell you why: The 2022 Compass has got a 2.4L engine, that's it!!! Would I want my kids driving a 2.4L commuting the freeways in California, NO!! We found it to be a peppy little engine, no whining noises, transmission have a decent transitions, we are averaging 29 MPG in town, 31-32 MPG highway...The Compass has changed insofar as looks and quality for the BETTER..I have driven Lexus, current models have also gotten cheap along with Toyota, and Volvo, always a awesome car XC40's, but expensive both in price and maintenance, you will not find a small SUV with, the Elite Package, high-end materials and quality comfort, than this little Compass has...Better Insulation from road noise, Real Premium Leather seats with both power and lumbar for driver and passenger: as well as the two-tone dash and door panels also premium leather, heated seats front and back, two many options to list..Comfortable and Roomy with plenty of head room, my husband is a big guy at 6'2"" and found the driving to be comfortable as well as front seat passenger, tall people will not do well in the back seat leg-room department for me anyway, I like to stretch out, head room is fine.... U-connect 5 NAVIGATION/Infotainment System, no one beats Jeep extremely easy to operate and yes, for those that prefer Apple CarPlay and Android also on deck I hate Apple CarPlay...Cargo space is perfect for a couple WITHOUT kids, golf clubs, suitcases..Ground clearance, 8.1"", on the Compass was higher than the Toyota H, and found I was hitting higher curbs we have in SoCal with the door, Toyota, when opening, not the Compass..Plan to put 235/50/19 Falken Trail AT on the Compass..The new compass is the Newer Grand Cherokee miniaturized..So if you are looking for a secondary vehicle for just a couple or single, I would highly recommend the Jeep Compass 2020-2022 with Elite Group. Going to commute? Buy the 2023 with upgraded Turbo Engine, this engine is a game changer, so look out competitors ......Side note 4 Stars because this 2022 is not a Turbo..go with the 2023 commuters..",4,11/26/2023,2024 Jeep Compass
"I bought the jeep Willy’s about a week ago. For the last 2 years I have been driving a Tesla model Y long range and I should say I love that car. However I needed a 2nd car. I test drive many cars. BMW X5, Audi Q7 and A7, Audi A4 and more. However the moment I test drive the jeep Willy’s 4xe, I fell I love with the car. Everything with this car is amazing. I love the classic look, I love the 20+ range if EV which is more than enough for my daily commute. With Tesla, the car does the driving for you! With the Jeep you go. Ack to your roots and you actually drive the car. It is very fun to drive. ",5,11/22/2023,2024 Jeep Wrangler 4xe
"I rented a 2021 Wrangler Sahara for a week while on vacation because I was thinking about buying one. Our family loved everything about it. It drives smoothly and the freedom tops come off quickly. The turning radius is great and the storage behind the back seats was surprisingly large (from my wife).We both found the front seats to be super comfortable as they hug your body. I'm only 5'8 so I don't need a ton of room, I find too many car seats are large and aren't comfortable because of this. Our 3 kids fit well in the back seat. The shifting was smooth and the pickup was good. Will definitely be buying a Wrangler in the near future. I had a smile on my face the whole time that I was driving it. We took the top off, rolled down the windows, and cranked the tunes, my 18-year-old son said that my coolness factor went way up. What else can go through western NY winters but quickly take the top off and enjoy the warmth?",5,11/21/2022,2022 Jeep Wrangler
Very happy with the Jeep Compass Comfortable ride Great in the UP snow,5,11/20/2022,2024 Jeep Compass
Love seat warmers and steering wheel warmer. Just in time for winter. Perfect size vehicle for me. The color is beautiful. Red velvet-cranberry color. The Compass is a nice step up from my Renegade. ,5,11/18/2022,2024 Jeep Compass
This vehicle is worth waiting for! ,5,11/18/2021,2022 Jeep Wrangler
"Like the title says, I bought my vehicle in May, 2023. I bought the cheapest version I could get with 4x4 and air suspension. I even bought it in white to save a few extra $$'s. I read the reviews that trash this vehicle with amazement. My experience so far (at 6,000 miles) has been great. I find the vehicle smooth, quiet and responsive (not so much so for the V6, but referencing the vehicle in turs, braking, things like that). A couple of times, the screen has frozen on me, but it resolves itself after a couple of minutes. I do think the V6 could use an increase of 30 horses & 30 lb/ft torque though. I also think the lane keeping needs refinement, although I hear from my dealer a software update is coming (?) As for major issues/complaints, I just don't have any. This is my first Jeep and it is far better than my 2020 Explorer (multiple failures in that vehicle) and Mazda Cx-9. I'm really happy with it, and I think for the most part, others will be too.",5,11/17/2023,2024 Jeep Grand Cherokee L
"Love it. Getting used to the stay in your lane, other vehicle to close. Both hands on the wheel notifications. But love it.",5,11/14/2021,2023 Jeep Renegade
"I’ve been driving my GC 4xe for almost a month and I reluctantly love it… It is the “entry level” for the 4xe and it still feels very luxury and nice. It has all the important to me features 4x4, quiet smooth ride, nice leather seats, nice screen, extra large moonroof, alpine stereo, and it is the perfect size. The worst part is that the hybrid engine probably isn’t what the X5 or RX is. If your daily drive is within 25 miles you’ll love it. If it’s much longer and better gas mileage is very important to you go elsewhere. The transition between engines isn’t always smooth. It’s works well just not $60k+ well. If having a jeep in this segment is more to you than excellent gas mileage you’ll love it. For me it really is the sweet spot. I commute 2 or 3x a week and get between 22-25 mpg on other days it’s full electric and great (I’ve yet to buy gas but getting really close) Charge times are long, it’s 10-12 hrs and the charger gets warm. I was planning on plugging in the charger in my ceiling outlet for my garage door opener and leaving it plugged in while hanging the charge cord next to the car from there but that doesn’t seem safe. I unplug both ends each time… not as smooth as I hoped but a non issue if you get the better charger (only 3 hrs) My wife hit a pretty big pot hole going fairly fast the first time she drove it and all seems as good as new so I can tell this is well built and a real jeep. I think it looks great, again it is the perfect size for me. I’m 6’4 and fit in Just fine. I wish the seat would go down a bit more but it isn’t bad at the lowest. I’m not a fan of the rims and i don’t think the lights are the same as the upper trims which bugs but totally worth not paying an extra $20k.",5,11/13/2022,2023 Jeep Grand Cherokee 4xe
"I have this on loan while my minivan is being serviced. First of all, the UConnect user interface is just awful. It's not intuitive at all. But my big complaint is the ""help"" the Jeep gives the driver while steering. I live in an area with few bike lanes and lots of cyclists. When I go to give a cyclist a wide berth, I have to cross the middle road line. The Jeep doesn't like this. The first time I went around a cyclist, the Jeep unexpectedly TURNED MY WHEEL TOWARD THE CYCLIST. It's a good thing I was paying close attention! I get that it's trying to keep me in the lines, but it needs to trust the driver better. The wheel-turning is not subtle like in a Tesla, you really have to grab the wheel hard and take good control over it. Also, the acceleration from a stop is terrible. The first time I needed to *quickly* merge into traffic, I expected the Jeep to get up to speed much faster. It was SO slow, I almost ended up getting hit by faster traffic. I didn't make that mistake again! I would not recommend the Jeep Renegade.",2,10/31/2022,2023 Jeep Renegade
I love my renegade! It rides great! good gas miles with the new 4 cylinder turbo. Thank you Jeep! I love that it was made in italy!,5,10/30/2023,2023 Jeep Renegade
Love the features and color. Great for our additional family member.,5,10/28/2020,2023 Jeep Cherokee
"I recently leased a 2023 Jeep Grand Cherokee Summit Reserve 4xe. I chose it for six reasons: 1. It has a comfortable interior that is also aesthetically stunning and very functional. 2. It boasts a wide range of advanced safety and driver assistance features. 3. The McIntosh sound system is hands down the best I have ever heard in a car. 4. It gets 25 miles of all-electric range — which means that I do almost all of my daily driving on electric power. I’m buying a tank of gas about once every six or seven weeks. 5. I prefer SUVs because of the higher seating position for visibility, the flexibility for luggage and cargo, and four wheel drive for winters (it can snow heavily where I live). 6. Because of a loophole in the revised federal law covering eVehicle incentives, a lease of a Jeep PHEV still qualifies for a full $7500 capital cost reduction incentive. Positives: 1. The infotainment system is easy to use and allows a remarkable degree of customization. Apple CarPlay works great, wirelessly, and the 10.1 inch screen is fully utilized and well-positioned. 2. The climate controls include physical buttons (including for seat heaters and the heated steering wheel). 3. The driver assistance functions all work well and can be customized. 4. The front seats are fabulously adjustable and the seat massage is highly configurable — and the front passenger seat gets all the same goodies as the driver’s seat. 5. The air suspension provides a smooth ride, but not floaty — even with 21 inch wheels. And the cabin is very quiet, even at highway speeds. 6. Virtually all the electronic controls and features work as described and are easy to figure out. 7. The interior screams refinement (which I realize is a contradiction in terms) and the ambient lighting is gorgeous, and adjustable. 8. The car accelerates like a demon, for an SUV. It is literally faster than the old Jeep Grand Cherokee with the Hemi. 9. There are a number of nice features that don’t get mentioned much in the literature, like automatic high beams, easy access features for the driver, two ports for usb drives holding music (nice for his-and-hers playlists) with both USB-A and USB-C ports, a 120 volt outlet in the rear seat, four zone climate control, remote start with automatic climate setting memory and window defrost and wiper de-icing (great for returning to the car in a commuter lot in the middle of Winter), and washers for the front and rear cameras. Nits: 1. Shiny black plastic on the center stack. Lots of it. A really, really stupid design choice that looks nice in the showroom but immediately collects scratches and fingerprints when in use. 2. The only way to get the heads-up display is with a rare extra package that includes night vision, which is mostly an expensive toy unless you live in a rural area with lots of deer (where I’m told it is helpful). The heads up display should have been standard on this trim. 3. There is no wireless phone charger — one should be standard. 4. Also, a cargo security cover should have been standard. However, a good after-market version is available for a very reasonable price. 5. The Jeep handles like what it is — a big, heavy SUV — the European SUVs of the same size, like the BMW X5, handle noticeably better. Bigger issues: 1. The transmission is not well matched with the engine (which is especially disappointing because the same eight speed transmission worked seamlessly with the Hemi). It jerks and pulls at low speed — accelerating from a standing start at a stoplight can be an annoying experience. The four cylinder turbo also whines while accelerating. 2. At the end of the day, you are still interacting with a Chrysler dealer for maintenance and repairs. Anyone who has experienced a Mercedes or BMW dealership will understand what I mean. Bottom line — This Jeep, at this trim level, is soooo close to being a top-tier production luxury vehicle — it already rivals Mercedes, BMW and Audi SUVs in many respects. If Chrylser could address the nits, and the transmission, it would be a class-leading luxury car. As it is, and given that all cars have shortcomings, it is a great luxury SUV and competitive at its price. This last point is a sore spot for me — I have seen multiple professional reviews saying “It’s so expensive for a Jeep” — that’s definitely “badge snobbery.” This Jeep, in Summit Reserve trim, is as well-designed, well-featured, and as reliable (better than Mercedes and Audi, actually, if you look at the statistics) as the anointed “luxury brands.” Update: Now that I have owned the Jeep 4xe for several months, I thought I’d provide an update on my experience, both positive and negative: 1. The car has over all been a joy to own and drive. It is comfortable and quiet. 2. The new Jeep mobile app is a vast improvement over the old UConnect app. 3. Carplay stop working once, and I had to reset the system to get it to re-initialize, which erased all my preferences. I have not had a problem since, and Jeep at least made it easy to perform the reset. 4. One evening recently, a family member was driving the car and ran out of gas (long story). It happened near our home, so I went to assist, and learned three things: • The 4xe does not behave like other cars when it runs out of gas, if it has already depleted its electric-only range. The dashboard lights up like a pinball machine, with warnings that multiple systems have failed — which is not true. This because when the engine doesn’t run, the car detects all sorts of resulting electrical faults when you press the Start button. • The estimated “range to empty” is not even close to accurate when the tank is near empty. The car was reporting it still had 35 miles of gasoline range when it stalled. • The Jeep “Assist” button and the alleged road service is worse than worthless. It is borderline criminal. When you press the “Assist” button, you don’t get connected - you get an infotainment screen asking you what service to connect you to — there are several choices, no clue as to which is the right one, and the whole process only works if the ignition switch is in the “accessory” or “run” status. Then, when you finally figure it out, you get connected to an automated system that asks if you want to buy a subscription to the service you are already subscribed to. Eventually, through perseverance, you get to a live person — who is very clearly sitting somewhere in India and barely speaks English. You are told that “Dispatch” is “seeking to find a provider in your area” and you will be notified when they do. When you hear nothing for 45 minutes and call back, they tell you “Dispatch” is still looking to find a provider – to be clear, not that someone is on the way but it will be a while (which I could understand), but that they are still looking to find somebody at all. Bear in mind this all happened in a Western suburb of Chicago at 9 PM, amid a concentrated population of several million people. There were at least ten 24-hour towing and road service companies within 10 miles of the car’s location (I checked later). When the local police stopped to check on us and offered to help (thank you, Officer Beth), they had roadside assistance there in ten minutes. Whoever at Stellantis signed off on this miserable excuse for a roadside service should be summarily fired for incompetence. I have deducted one star from my prior review because of the miserable ""Assist"" service.",4,10/26/2023,2023 Jeep Grand Cherokee 4xe
