Review,Stars
"Never had such horrible service on anything I have ever purchased - let alone a $60K Jeep Gladiator - brand new - driven off the lot with 6 miles. Things happen, but the response and service has been worse than imaginable. Nobody even cares, calls, updates, nothing. The car has 1,900 miles, was towed into the dealer and we hear nothing. JEEP Wave service reaches out, we call back, nothing! (Thanks Brandi - for NOTHING). This is my 4th JEEP and this is the treatment. Never again based on the response so far. Inexcusable. If I operated like this, I would be out of business.",1.0
"Consider yourself warned. At 47,000 miles my Jeep Grand Cherokee SRT ($70,000 vehicle) had the lifters fail which is a widely reported issue. As a result, the cam shaft deflected metal particles into the engine block which now requires me to put an entirely new motor into the vehicle. Roughly $10,000 in damages and repairs. These types of damages are not covered under comprehensive insurance, you will be left holding the bag and Fiat/Jeep/Chrysler will NOT HELP YOU AT ALL. My car was perfectly maintained at all times, this is a defective engine design and if you're in the market for one of these vehicles BEWARE. Do yourself a favor and look elsewhere, do not buy these vehicles. They are plagued with issues and you will cause yourself an enormous headache.",1.0
"Got my dreamy Jeep gladiator 2 months ago, it’s most expensive mistake I ever have, comes back to the dealership first injector number 2/3, got it back a day later the car stops and have to be towed back to the dealership, now they said is injector 4. Still there at this moment.",1.0
"I have 2021 Jeep Grand Cherokee L that was bought back in January of 2022 drove it up til April 17th. My wife was pulling of a parking lot and the transmission went into limp mode. Had it towed to the dealership 3 days later got it back and they said they did software updates. Drove it for a week and while my whole family was in it and taking a turn from a stop sign when they got up to 15mph it through itself in park and the transmission clicked loudly. Had it towed again to the dealership where it sat there for 56 days before getting it back with a new transmission. 
      I called Jeep customer service several times and got a case manager involved. I only heard from her one time on May12th. I have asked for the vehicle to be bought back under Lemon Law which states that if your vehicle is in the shop for 30 days or more within the first year or same defect of the vehicle at least 3 times they buy it back. I would have to say I will never buy another FCA unit again. The dealership had no communication with me nor did the FCA customer service. When I called to talk to a supervisor they would never send me to one or have one call me back. The dealership didn’t want me to take back my vehicle on a 3 1/2 hr trip because they didn’t want me to break down again. So either they aren’t sure it was the transmission or they aren’t sure the new one will hold up.",1.0
"We recently bought a 2022 Jeep Gladiator, after four days of owning it problems started. It has been at Kindle dealership (cmch) numerous times and every time they tell us it's fixed it's not. They have replaced numerous parts and still having issues. The dealership itself is awful and I'm upset we even chose to go there. Service is awful, they never answer phones, rude customer service, and absolutely no respect or concern for our situation. JEEP says they started the buy back but it's going nowhere. 
      My husband is getting deployed in two weeks, we are moving to a new state with four kids and three animals. We needed this Jeep to help us with the move. How can service be so bad? How can you expect people to drop a massive amounts of money on vehicles that don't work or even give them the service they deserve. This has been so stressful for us and not to mention financial hardship. We are paying for a brand new broken vehicle and having to get rentals twice now just so we can function as a large family. Jeep needs to do better for their customers and I don't not recommend Kindle dealership at all. Please someone see this and light a fire under someone's butt. We leave in two weeks and my husband will be on a boat. I will not have time to deal with this on my own with everything else going on. Jeep you have a massive problem on your hands! Do something please!!!!",1.0
"Where do I begin. Long story short, I purchased a 2021 Jeep Gladiator which I started off loving. I've leased Acura's most of my life. Here we are today, not even a year later and my Gladiator has left me stranded on the Turnpike. It's still under warranty but it's as good as nothing. They towed it to 2 different dealers because first dealer was telling me that they will not have anyone to look at the Jeep until AFTER 30 days and no rentals/loaners available and second dealer told me same but they had a rental they could provide. Transmission was declared damaged. On a BRAND NEW Jeep. We can all say that we purchase nee vehicles to avoid problems like this right? Well, not in my case. I have never owned a brand new car, or even old cars; that have given me these issues. 
      I have been in contact with Jeep and no one there has been helpful at all. I keep getting that my case manager will call me back and no calls at all. I have called them 5 times today and have gotten re-routed to an incorrect department, 5 times today. Keep in mind that I am still paying a loan on this vehicle and that I am also paying for a very expensive MOPAR service that I am not even using. I would not recommend Jeep to my worst enemy!!!",1.0
I have waited 3 years for a dash pad to be replaced under warranty part was ordered then after 3 years manufacture canceled order still not completed. I have lost value. I cannot use my defrosters. Dash is pulling on air bag. Now vents are being pulled out. When I call customer service I get the run around. 1 Star too much for this review.,1.0
"Bought a 2021 Jeep Wrangler Rubicon in July of 2021 for $63,000. Within a few months rust started to form on top of the rear bumper around the mounting bolts and streaming a rust stain around the rear steel bumper. The dealer declined repairs so I contacted Jeep customer service and opened a case and claim. They also denied the claim stating the rust was from ""outside influence"" whatever that means. I am furious that they would let a simple repair like this leave a customer furious and hating the car because of this. There are several others online with similar issues and a class action suit has been launched. My theory is it shouldn't have to come to this when paying a TON of $ for this car. I am still willing to speak to Jeep about coming to an amicable outcome.",1.0
"Berthod Motors in Glenwood Springs, CO and its corporate affiliates left my wife and I stranded for the holidays. After having paid out of pocket for a PCM replacement on our Jeep Grand Cherokee that also fried our battery and alternator last December, my Jeep began exhibiting the same issues as before at the beginning of this December. The PCM failed and fried a battery. I contacted Berthod Motors only to be told that while the part was still under warranty, it would be 2 weeks before a mechanic could even look at our vehicle to assess if it was truly the PCM that had failed again. Without option, we booked an appointment.
      I had our Jeep towed to Berthod the night before our scheduled appointment. The day of the appointment came and went with 0 contact from the dealership, although I had tried to call and left multiple messages. I had been left with no idea that the vehicle had even made it to the dealership. I was finally contacted by the service manager the following day saying that it was in fact a PCM failure, but due to not having one in stock, it would be another week before the repair would be made. It has now been 2 weeks with no end in sight.After once again not being contacted by Berthod Motors with an update to the status of the repair, I stopped in and was informed that the PCM is on backorder. The EARLIEST that the part could be available is mid January, 6 weeks after the vehicle broke down due to a faulty part being installed by Jeep. I was told by Jason, the service manager, that his hands were tied as far as not being able to make the repair any quicker or providing a rental car in between. Jason directed me to Jeep's direct customer service to see if they could be any help. I contacted Jeeps Corporate customer service line on Monday of this week. I explained my wife and I’s situation to the representative and while she was very kind, she informed me that she would have to escalate the situation and that she didn’t have the resources to actually help. It took another 48 hours for a different representative to call. Without hesitation the representative told my wife and I that there isn’t even a chance that Jeep would be willing to help us with a rental car and we would be so lucky to get the replacement PCM any quicker than what we were quoted from Berthod. This will be my wife and I’s last vehicle from General Motors. My wife, a teacher, has been a huge fan of Jeep since she has had her driver’s license. She has personally financed over 5 different models of Jeep Cherokees since our marriage. Already last week she suggested that we move over to a more dependable brand such as Toyota after this debacle. As a plumber in this valley, I could never stay in business, let alone stay employed if this is how I treated my clients. I would never think of or have the audacity to install a faulty part in a client's home and then leave them without water or heat after the part failed. Regardless of backordered parts. This has truly been one of the worst examples of customer care that I have seen in my life. This review will be updated as the situation progresses.",1.0
My Grand Cherokee is one of the best vehicles I've had. The seats could be a lot better far as comfort and the replacement parts are expensive. But I like the design of the whole car in general. My Jeep has been great. Just keep up the maintenance on your vehicle.,5.0
"Owned car since July 2021. Today 11-4-21 it sits in shop again for bad Uconnect screen/controls. No reliable screen means no climate control, radio, nav, phone connection. Service appointments are 3-4 weeks out and they won’t fix it. No loaners. Nightmare and I’m not sure based on documented visits they aren’t trying to avoid lemon law issues. Won’t say it’s same issue on paperwork???",1.0
"I currently own two Jeep vehicles. One I purchased new is a 2013 Grand Cherokee. It has been the most dependable, reliable, stylish vehicle that I’ve owned. Jeep has stood behind any issues I’ve had, which have been few. My second Jeep is a 2018 Wrangler Sport that I purchased used with 8,000 miles and under warranty. It’s also a great vehicle, easy to tow behind my motorhome, and fun to drive on adventures. I’ve had no issues at all with it.",5.0
"I leased 2021 Jeep Wrangler Sahara Unlimited 4xe couple months back from Stoneridge (Livermore) where started facing an issue with hybrid sign at odometer after couple months. Meanwhile, I went to close by dealership i.e. ELK Grove Jeep where they recognized or analyzed an issue with electric wiring needs to replace because those got burned out due to engineering or mechanical issue. Beside, they gave an estimate first for 1 week from fixation perspective and now they are keep on ignoring since September 2021.
      Moreover, I also talked to Jeep Customer service and also raised the case includes escalation where case Manager is careless as well and not responsive because they never reached out to me even single time about the status or any feedback. I'm literally fed up and stressed because they are harassing and ignoring customer instead of helping. Also, I requested them that my health is not good and I can't bear stress due to lung infection after covid19 impact but I want to state here on public side as well and manifest there carelessness about team services. Please, help me to resolve my matter asap otherwise Ii need to step-up for case filiation. Thanks & Regards.",1.0
"7/1/21 I was in a terrible car accident on the interstate. 28k damage to my Jeep Wrangler! I had no airbags nor did my seatbelts lock, we were violently thrown into dash, my husband has facial fractures even. Jeep did a inspection and denies any liability. So never ever spend 45k on a jeep wrangler unless it your preferred coffin!",1.0
"I've now owned five Jeeps. Two Grand Cherokees and three Wranglers (two JK models and one JL model). While I've had a hiccup or two, Jeep has been great about making things right and the vehicles have been reliable. The reliability and versatility have kept me a loyal Jeep customer. Recently, and unfortunately, we were the victims of an F-250 Super Duty red light running hit-and-run driver that hit us and ran totaling the vehicle with only 4980 miles. Me, my wife, daughter, and son, all walked away the kids with zero injuries and my wife and I with minimal airbag related injuries. To say I am thankful is an understatement. I'm so bummed that I lost so much of what I invested in my Jeep and am having trouble finding a replacement, but at the end of the day, we all walked away from a collision that had we been in a smaller vehicle, there would have likely been severe injuries or even death. Thank you Jeep!",5.0
I purchased my 2014 Hero Latitude in Oct 2015. I have had nothing but issues with this vehicle. I purchased it with a little over 35 thousand miles. I have had a new transmission in about Feb or March in 2016. I have had a transmission mount replaced I. 2017 and another in -Oct 2020. I have had the shifter replaced or repaired about 2016. I’m having an issues once again with the shifter. I have had the throttle replaced in 2020. I current have over 76 thousand miles on my vehicle because I’m too afraid to drive too far. I will not even take a road trip for that reason.,1.0
"I have 2 Jeeps. One is a 2012 Jeep Patriot that has minor issues that haven't cost a ton. The other is a 2017 Jeep Compass that has had major financial issues recently. I have an extended warranty on the 2017 Jeep as I bought it used. I took it to my local Jeep dealership when it started hesitating and engine lights went on. They claimed it was a spark plug, maintenance issue that cost me over 500 dollars. 
      Then less than 2 months later same issues same lights on. I took it back to dealership and they diagnosed it with a throttle body problem that was going to cost me an additional 700 dollars (not under warranty). I towed it away but had to pay the 130 for the diagnostic problem they should have seen/fixed the first time. My 2012 Jeep has a 4wd light on ever since I took it to same dealership to fix a recall problem. My honest mechanic said the dealership pinched the wires when they fixed the recall problem. I will never buy another Jeep or go back to Newport Jeep for anything.",2.0
"I have owned several Jeeps. Affordable 4 wheel drive vehicles, many options available, no shortage of available dealerships if in need of service. I love them for winter driving. Very stable and sturdy on snow or ice. Many options for purchasing.",5.0
"DO NOT BUY JEEP! Please look into other credible vehicle brands. Please believe ALL the reviews about their terrible service! First of all, let me first say initially my car is fairly new. It is still under warranty, and it started stalling. Well I find out via mail it’s a recall on the electric system that starts the issue ok... ""Well my car isn’t driving properly. Can you all pick it up?"" ""Well let us get back with you.. Yes we can."" My car gets to the dealership. They won’t service my car unless I sign some paperwork. ""Understandable. Can you do e-docusign?"" ""No."" ""Can you pick me up?"" ""No."" ""Can you bring the papers to my home?"" ""No."" I had to hire an Uber to jeep and back $40. 
      ""When will my car be fixed?"" ""We don’t know."" Dealership calls back.. ""Can’t fix your car ma’am. We are backed up 4 days."" ""Can you provide a loaner car?"" ""No."" ""Why?"" ""Corporate says it must be a service that requires at least 48 hours. Your service only takes 20 minutes."" I spent almost a wk getting a Uber back and forth to work $100. A week after my car is fixed, car stalls out again on a major highway. I’m almost killed! At this point I’m ANGRY. Same thing. No loaner car, I can’t get to the dealership to sign off, I spent OVER $200 on appointment cancellations, Uber rides, and food delivery services! No rentals are available in my area. ""We gave you a case manager. She’s not available until Monday morning. You will have to wait..."" Guess who will be doing Uber again on Monday morning?? DO NOT buy Jeep. The customer service is terrible. I get better service buying a $3 chicken sandwich from Chick-fil-A than I have buying a 32,000 vehicle!! I’m filing a suit, giving bad reviews until the day I die! I’m that angry over these selfish, greedy, unreliable, jerks!",1.0
"I want to start off by saying that I come from a family of multiple Jeep owners (husband, mom, dad, brother, mother-in-law, etc.) as we all love Jeep. More so, I was looking forward to purchasing a second vehicle for myself (of course a Jeep) because they have been reliable cars, or so I thought, and I had faith in the Jeep Company. That was until my unfortunate and super expensive experience that has kickstarted my 2021 year. While driving back home shortly after New Year’s Day, my 2015 Jeep Grand Cherokee with only 66K miles, suddenly decided not to turn back on after stopping for gas. Fortunately, I was able to tow it to the nearest Jeep dealership, where I only go to for car service. Since it was the holidays, there was a delay in my car's diagnostic. 
      After 4 days of being at the Jeep dealership, I was finally informed that my fuel pump and wiring had to be replaced for about $1,500 plus tax because nothing that needed repair was covered under warranty. Now, let's add $1,500 plus tax to the total cost that I have been incurring with rental car, stay, food, etc. since my 2015 Jeep, with only 66k miles, stopped working while I was 4 hours away from home. I decided to call the Jeep warranty customer care to get clarification on what is covered in my warranty. After speaking with several customer care agents, they all shared that my fuel pump is covered under the manufacturer’s warranty for up to 7 years or 100K miles, which conflicted with what the Jeep dealership shared. Additionally, I was told that I had trip interruption protection for up to 100K, which would help with all the costs I was incurring being 4 hours away from home. Unfortunately, the Jeep car dealership and the Jeep warranty customer care were not agreeing, which caused additional delays in my car getting fixed. After speaking with various customer care numbers for 2 days that were being provided to me by each representative, it was finally confirmed that my 2015 Jeep Grand Cherokee’s fuel pump and wiring was not covered under any warranty. Additionally, the trip interruption plan that I was told I had, was indeed not true. Now I understand that rules are rules. However, this experience has left me with 2 burning questions: 1) How reliable are Jeep cars to break down at only 66K miles? 2) How reliable is the Jeep Company with ensuring proper employee training so that customers are not misled? -Sincerely disheartened by Jeep!",1.0
"I bought this car brand new and have now had it for 2 years. It has been the worst car I have ever had in my life. The windshield is a magnet for chips and you can tell that it is bad quality, have had two chips and one crack already driving on paved roads. The paint is also cheap as it chips very easily with normal driving. And the biggest issue other than all the recalls, is that my car takes the most expensive oil which is full synthetic and for some reason it is empty at 3,000 miles. Have taken it to the dealer and even called Jeep and nobody seems to be able to fix the issue. They just tell me to keep adding oil because these cars are notorious for doing that.
      It is a safety issue because the car stalls while driving since it is constantly running out of oil, but neither the dealers or jeep seem to care. That's not to mention all the problems I had with the radio trying to get Android Auto to work properly, jeep kept telling me that the problem was I needed new usb cable but in the end I found out on my own that the actual problem were the apps on the radio. Basically jeep never has answers to anything, you have to figure it out on your own like you are the one getting paid to do the job. Best thing I can do now is get rid of this jeep and never do business with them again.",1.0
"I have a 2016 Jeep Patriot that I've owned for not even 2 years. On July 31st the engine blew up on me and I have contacted Jeep and was told even though my Jeep is barely over the warranty coverage....I'm out $4000 on a new engine!!!! Im a disabled unemployed Iraq war veteran, but hey apparently Jeep doesn't care about the soldiers and veterans to even remotely make it right or do anything to help.... I shouldn't have to foot this bill for a new engine in such a new vehicle.... Absolutely garbage customer service and helpfulness in a persons time of need.... Don't waste your time with a vehicle that will blow up not even before its next oil change after the warranty expires.... Get you a vehicle with 100k mile warranty and actually be covered....",1.0
"I purchased a brand new Jeep Compass in September 2015. I owned jeeps previously but not a compass and never had problems like I am having now. At 3 years old my compass radio went out and needed to be replaced the car has 30,000 miles on it but the radio was not covered under warranty. It cost me 450.00 to replace it. In 2019 at 4 years old I needed a new wheel bearing and had to replace front and back breaks rotors and pads to the tune of over 800.00. Car had 35,000 miles on it. In June of 2020 a sensor for the battery went and car would not start. I had to have it towed to the dealer for 200.00. The sensor cost 12 dollars but I was charged 300.00 for 2 hours of labor. Now the 4wd, traction control light and ABS light all came on.
      When I took it to my local mechanic he said the wiring for these sensors was all corroded and would need to be replaced. He did not give me an estimate but told me it would be very expensive. The car has 42,000 miles on it. I am very disgusted and would not recommend this vehicle to anyone. I called Jeep and they told me they Couldnt help as my warranty ended Sept. 9 2020. Nice Company!",2.0
"I feel bad I have to write this but....I bought a Jeep Compass back in March 2019 from the Route 46 Jeep Dealership in Little Falls, NJ. DO NOT GO TO THIS DEALERSHIP!!! IT IS TERRIBLE. I had to wait over an hour until they found the vehicle I was inquiring about. Then the finance guy, Alex **, was awful in giving me all of the details of my loan. Very rushed and basically didn't care about what was best for me. I was told the Compass was certified and when i went to sign the papers, it was not for the amount quoted online as the sales price. I had to pay an additional 1200 for the certified fee! This was not disclosed or mentioned in any paperwork until I sat down with the finance person at the last minute. Very unprofessional. I waited to speak to the manager of the dealership before I left, but he was conveniently unavailable for over an hour.
      Next issue-had car serviced at the Morgantown, WV dealership in October 2019. Then in June 2020, the car stalls out on me. I had vehicle towed to a White Plains, NY dealership. Issue was that the Morgantown dealership left screws of the torque plate in the car and they punched a hole in my motor and transmission. Now I find out the parts are not coming in until October 2020. I have been without a vehicle from June 2020 and will not get my car until October 2020. Jeep is not helping me at all! Issue was Jeep's fault and they are doing nothing to help me. Very frustrated. Will never buy a Jeep again.",1.0
